Location, Mass, Year, Long, Lat
Castrovillari,15000,1583,39.8,16.2
Bansur,15000,1892,27.7,76.33333
Vigarano,15000,1910,44.85,11.4
Appley Bridge,15000,1914,53.58333,-2.71667
Tourinnes-la-Grosse,14500,1863,50.78333,4.76667
Ogi,14360,1741,33.28333,130.2
Gifu,14290,1909,35.53333,136.88333
Ningbo,14250,1975,29.86667,121.48333
Laochenzhen,14250,1987,33.13333,115.16667
Thika,14200,2011,-1.00278,37.15028
Luponnas,14000,1753,46.21667,5
Orgueil,14000,1864,43.88333,1.38333
Beaver Creek,14000,1893,51.16667,-117.33333
Hvittis,14000,1901,61.18333,22.68333
Saint-Sauveur,14000,1914,43.73333,1.38333
St. Mark's,13780,1903,-32.01667,27.41667
Khairpur,13600,1873,29.53333,72.3
Strathmore,13400,1917,56.58333,-3.25
Kabo,13400,1971,11.85,8.21667
Durala,13200,1815,30.3,76.63333
Tuan Tuc,13100,1921,9.66667,105.66667
Ryechki,13000,1914,51.13333,34.5
Lissa,12800,1808,50.2,14.85
Murray,12600,1950,36.6,-88.1
Peekskill,12570,1992,41.28333,-73.91667
Dergaon,12500,2001,26.68333,93.86667
Charwallas,12000,1834,29.48333,75.5
Okniny,12000,1834,50.83333,25.5
Tatahouine,12000,1931,32.95,10.41667
New Halfa,12000,1994,15.36667,35.68333
Devgaon,12000,2001,19,81
Trenzano,11800,1856,45.46667,10
Fukutomi,11620,1882,33.18333,130.2
Kokubunji,11510,1986,34.3,133.95
Bandong,11500,1871,-6.91667,107.6
Kapoeta,11355,1942,4.7,33.63333
Mount Browne,11300,1902,-29.8,141.7
Lundsg̴rd,11000,1889,56.21667,13.03333
Phuoc-Binh,11000,1941,15.71667,108.1
Vengerovo,10800,1950,56.13333,77.26667
Quesa,10750,1898,39,-0.66667
Atsuma,10690,1935,43,141
Rose City,10600,1921,44.51667,-83.95
Gross-Divina,10500,1837,49.26667,18.71667
Pampanga,10500,1859,15.08333,120.7
Menow,10500,1862,53.18333,13.15
Tambakwatu,10500,1975,-7.75,112.76667
Stretchleigh,10400,1623,50.38333,-3.95
Bahjoi,10322,1934,28.48333,78.5
Nerft,10250,1864,56.5,21.5
Raghunathpura,10200,1986,27.72528,76.465
Fermo,10200,1996,43.18111,13.75333
Milena,10000,1842,46.18333,16.1
Nakhla,10000,1911,31.31667,30.35
Rembang,10000,1919,-6.73333,111.36667
Eagle,10000,1947,40.78167,-96.47167
Tugalin-Bulen,10000,1967,45.46667,105.38333
El Idrissia,10000,1989,34.41667,3.25
Djoumine,10000,1999,36.95,9.55
Tagish Lake,10000,2000,59.70444,-134.20139
Utrecht,9700,1843,52.11667,5.18333
Khohar,9700,1910,25.1,81.53333
Ash Creek,9500,2009,31.805,-97.01
Avanhandava,9330,1952,-21.46028,-49.95083
Paint Creek,9300,1868,40.5,-82
Alexandrovsky,9251,1900,50.95,31.81667
Lua,9241,1926,24.95,75.15
Motta di Conti,9150,1868,45.2,8.5
Mixbury,9000,1725,52,-1.11667
Salles,9000,1798,46.05,4.63333
Tadjera,9000,1867,36.18333,5.41667
Rakovka,9000,1878,52.98333,37.03333
Hainaut,9000,1934,50.31667,3.73333
Granes,9000,1964,42.9,2.25
Moorleah,8888,1930,-40.975,145.6
Chandakapur,8800,1838,20.26667,76.01667
Bogou,8800,1962,12.5,0.7
Monroe,8600,1849,35.25,-80.5
Bori,8600,1894,21.95,78.03333
Mirzapur,8510,1910,25.68333,83.25
Seres,8500,1818,41.05,23.56667
Sindhri,8400,1901,26.21667,69.55
Cherokee Springs,8400,1933,35.03333,-81.88333
Harleton,8360,1961,32.675,-94.51167
St. Mesmin,8300,1866,48.45,3.93333
Chainpur,8200,1907,25.85,83.48333
Nadiabondi,8165,1956,12,1
Turin,8000,1782,45.06667,7.68333
Verkhne Tschirskaia,8000,1843,48.41667,43.2
Sch̦nenberg,8000,1846,48.11667,10.46667
Grossliebenthal,8000,1881,46.35,30.58333
Mighei,8000,1889,48.06667,30.96667
Orebro,8000,1958,59.28333,15.21667
Enshi,8000,1974,30.3,109.5
Phum Sambo,7800,1933,12,105.48333
Larissa,7700,1706,39.63333,22.41667
Ohuma,7700,1963,6.75,8.5
Tabor,7540,1753,49.4,14.65
Nanjemoy,7500,1825,38.41667,-77.16667
Pfullingen,7500,1904,48.46667,9.21667
Bo Xian,7500,1977,33.83333,115.83333
Arroyo Aguiar,7450,1950,-31.41667,-60.66667
Ijopega,7330,1975,-6.03333,145.36667
Castalia,7300,1874,36.08333,-78.06667
Bremerv̦rde,7250,1855,53.4,9.1
Supuhee,7235,1865,26.71667,84.21667
Schellin,7000,1715,53.35,15.05
Borkut,7000,1852,48.15,24.28333
Lancon,7000,1897,43.75,5.11667
Queen's Mercy,7000,1925,-30.11667,28.7
Lanzenkirchen,7000,1925,47.75,16.23333
Repeev Khutor,7000,1933,48.6,45.66667
Ipiranga,7000,1972,-25.5,-54.5
Sfax,7000,1989,34.75,10.71667
Dashoguz,7000,1998,41.98444,59.685
Tissint,7000,2011,29.48195,-7.61123
Kendleton,6937,1939,29.45,-96
Segowlie,6930,1853,26.75,84.78333
Ple��coi,6913,2008,45.275,26.70972
Lillaverke,6862,1930,56.65,15.86667
Marsala,6800,1834,37.78333,12.41667
Kavarpura,6800,2006,25.14333,75.81333
Kendrapara,6669,2003,20.4625,86.70278
Daule,6580,2008,-1.87089,-79.95756
Otomi,6510,1867,38.4,140.35
Ankober,6500,1942,9.53333,39.71667
Cereseto,6460,1840,45.08333,8.3
Barbotan,6400,1790,43.95,-0.05
Ambapur Nagla,6400,1895,27.66667,78.25
Gambat,6400,1897,27.35,68.53333
Mihonoseki,6380,1992,35.56833,133.22
Neuschwanstein,6189,2002,47.525,10.80833
Khmelevka,6109,1929,56.75,75.33333
Nagy-Borov̩,6100,1895,49.16667,19.5
Hedjaz,6100,1910,27.33333,35.66667
Forksville,6067,1924,36.78333,-78.08333
Quenggouk,6045,1857,17.76667,95.18333
Alais,6000,1806,44.11667,4.08333
Kuleschovka,6000,1811,50.75,33.5
Bishopville,6000,1843,34.16667,-80.28333
Oesel,6000,1855,58.5,23
Ornans,6000,1868,47.11667,6.15
Cynthiana,6000,1877,38.4,-84.25
Ruschany,6000,1894,52.88333,24.88333
Tauk,6000,1929,35.13333,44.45
Meru,6000,1945,0,37.66667
Rupota,6000,1949,-10.26667,38.76667
Nikolskoe,6000,1954,56.11667,37.33333
Chernyi Bor,6000,1964,53.7,30.1
Alta'ameem,6000,1977,35.27333,44.21556
Maromandia,6000,2002,-14.2,48.1
Jhung,5900,1873,31.3,72.38333
Yaddlethorpe,5900,1963,53.55,-0.65
Xi Ujimgin,5900,1980,44.66667,117.5
Ojuelos Altos,5850,1926,38.18333,-5.4
Misshof,5800,1890,56.66667,23
Kemer,5760,2008,36.54194,29.41822
Gumoschnik,5700,1904,42.9,24.7
Yafa,5700,2000,13.71111,45.17
Dandapur,5650,1878,26.91667,83.96667
Sylacauga,5560,1954,33.18836,-86.2945
Pribram,5555,1959,49.66667,14.03333
St. Christophe-la-Chartreuse,5500,1841,46.95,-1.5
Santa Isabel,5500,1924,-33.9,-61.7
Min-Fan-Zhun,5500,1952,32.33333,120.66667
Dongtai,5500,1970,32.91667,120.78333
Bovedy,5460,1969,54.56667,-6.33333
Searsmont,5400,1871,44.36667,-69.2
Bukhara,5300,2001,39.77978,64.60035
Lixna,5213,1820,56,26.43333
Cold Bokkeveld,5200,1838,-33.13333,19.38333
Blanket,5100,1909,31.83333,-98.83333
Pasamonte,5100,1933,36.21667,-103.4
Archie,5070,1932,38.5,-94.3
Jonzac,5000,1819,45.43333,-0.45
Drake Creek,5000,1827,36.4,-86.5
Nulles,5000,1851,41.63333,0.75
Buschhof,5000,1863,46.45,25.78333
Shergotty,5000,1865,24.55,84.83333
Kerilis,5000,1874,48.4,-3.3
Collescipoli,5000,1890,42.53333,12.61667
Magnesia,5000,1899,37.86667,27.51667
Shupiyan,5000,1912,33.71667,74.83333
Raco,5000,1957,-26.66667,-65.45
El Tigre,5000,1993,19.96722,-103.05167
Galkiv,5000,1995,51.68333,30.78333
Maziba,4975,1942,-1.21667,30
Ste. Marguerite,4960,1962,50.76667,3
Raoyang,4910,1919,38.2,115.7
Monte das Fortes,4885,1950,38.01667,-8.25
Mayo Belwa,4850,1974,8.96667,12.08333
Okano,4742,1904,35.08333,135.2
Itqiy,4720,1990,26.59083,-12.95217
Muraid,4703,1924,24.5,90.21667
Ramsdorf,4682,1958,51.88333,6.93333
Maigatari-Danduma,4629,2004,12.83333,9.38333
Ningqiang,4610,1983,32.925,105.90667
Ucera,4590,1970,11.05,-69.85
Innisfree,4576,1977,53.415,-111.3375
Ortenau,4500,1671,48.5,8
Portugal,4500,1796,38.5,-8
High Possil,4500,1804,55.9,-4.23333
Nedagolla,4500,1870,18.68333,83.48333
Kalumbi,4500,1879,17.83333,73.98333
Nammianthal,4500,1886,12.28333,79.2
Mokoia,4500,1908,-39.63333,174.4
Baroti,4500,1910,31.61667,76.8
