Place,Type of meteorite,"Mass, g",Fell/found?,Year,Database,Coordinate 1,Coordinates 2
Cranbourne,"Iron, IAB-MG","8,600,000",Found,1854,http://www.lpi.usra.edu/meteor/metbull.php?code=5463,-38.1,145.3
Santa Catharina,"Iron, IAB-ung","7,000,000",Found,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=23162,-26.21667,-48.6
Bendeg�_,"Iron, IC","5,360,000",Found,1784,http://www.lpi.usra.edu/meteor/metbull.php?code=5015,-10.11667,-39.2
Brenham,"Pallasite, PMG-an","4,300,000",Found,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=5136,37.5825,-99.16361
Jilin,H5,"4,000,000",Fell,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=12171,44.05,126.16667
Vaca Muerta,Mesosiderite-A1,"3,828,000",Found,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=24142,-25.75,-70.5
Toluca,"Iron, IAB-sLL","3,000,000",Found,1776,http://www.lpi.usra.edu/meteor/metbull.php?code=24018,19.56667,-99.56667
Xifu,"Iron, IAB complex","3,000,000",Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=54608,36.3,120.48333
Al Haggounia 001,Aubrite,"3,000,000",Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=44857,27.5,-12.5
Old Woman,"Iron, IIAB","2,753,000",Found,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=18007,34.46667,-115.23333
Wabar,"Iron, IIIAB","2,550,000",Found,1863,http://www.lpi.usra.edu/meteor/metbull.php?code=24194,21.49972,50.47222
Huckitta,"Pallasite, PMG-an","2,300,000",Found,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=11922,-22.36667,135.76667
Navajo,"Iron, IIAB","2,184,000",Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=16926,35.33333,-109.5
Coahuila,"Iron, IIAB","2,100,000",Found,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=5387,28.7,-102.73333
Henbury,"Iron, IIIAB","2,000,000",Found,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=11872,-24.56667,133.16667
Allende,CV3,"2,000,000",Fell,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=2278,26.96667,-105.31667
Campinorte,"Iron, ungrouped","2,000,000",Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=52093,-14.258,-49.15917
Santa Luzia,"Iron, IIAB","1,918,000",Found,1921,http://www.lpi.usra.edu/meteor/metbull.php?code=23166,-16.26667,-47.95
Ghubara,L5,"1,750,000",Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=10911,19.22778,56.14278
Odessa (iron),"Iron, IAB-MG","1,600,000",Found,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=17985,31.71667,-102.4
Gebel Kamil,"Iron, ungrouped","1,600,000",Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52031,22.01833,26.08778
Casas Grandes,"Iron, IIIAB","1,545,000",Found,1867,http://www.lpi.usra.edu/meteor/metbull.php?code=5285,30.4,-107.8
Bitburg,"Iron, IAB complex","1,500,000",Found,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=5062,49.96667,6.53333
Quinn Canyon,"Iron, IIIAB","1,450,000",Found,1908,http://www.lpi.usra.edu/meteor/metbull.php?code=22364,38.08333,-115.53333
Charcas,"Iron, IIIAB","1,400,000",Found,1804,http://www.lpi.usra.edu/meteor/metbull.php?code=5326,23.08333,-101.01667
Santa Apolonia,"Iron, IIIAB","1,316,000",Found,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=23160,19.21667,-98.3
Tsarev,L5,"1,225,300",Found,1968,http://www.lpi.usra.edu/meteor/metbull.php?code=24058,48.7,45.7
Alkhamasin,"Iron, IIAB","1,200,000",Found,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=475,20.6,44.88333
